SampleID,CqSAMP_B2M,CqSAMP_TEL,RTL_resp_CAL,RTL_No_CAL,Plate,ExtrMethod
BR036,25.81352181,13.44269039,1.014319277,0.893547071,20150421_Soay_SCcomparison8,SC
BR036,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR036,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR057,25.24584813,12.83972858,0.829607455,0.919651388,20150416_Soay_PGcomparison1,PG
BR057,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR057,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR057,25.43954073,12.92357174,0.726733663,0.986354747,20150416_Soay_PGcomparison2,PG
BR057,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR057,NA,NA,NA,NA,20150416_Soay_PGcomparison2,PG
BR057,25.38755383,12.50084649,0.985157848,1.249289792,20150417_Soay_PGcomparison3,PG
BR057,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR057,NA,NA,NA,NA,20150417_Soay_PGcomparison3,PG
BR057,25.38423221,12.91717852,0.792525831,0.952755723,20150417_Soay_PGcomparison4,PG
BR057,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR057,NA,NA,NA,NA,20150417_Soay_PGcomparison4,PG
BR057,25.82975013,13.53915265,0.884652919,0.851980544,20150420_Soay_SCcomparison5,SC
BR057,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR057,NA,NA,NA,NA,20150420_Soay_SCcomparison5,SC
BR057,25.78091575,13.66400693,0.847312747,0.764691845,20150420_Soay_SCcomparison6,SC
BR057,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR057,NA,NA,NA,NA,20150420_Soay_SCcomparison6,SC
BR057,26.06462194,13.33964208,0.944620121,1.116371496,20150421_Soay_SCcomparison7,SC
BR057,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR057,NA,NA,NA,NA,20150421_Soay_SCcomparison7,SC
BR057,26.04800187,13.75363025,0.966155789,0.851118271,20150421_Soay_SCcomparison8,SC
BR057,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR057,NA,NA,NA,NA,20150421_Soay_SCcomparison8,SC
BR501,25.39403251,13.04787124,0.796446783,0.882891523,20150416_Soay_PGcomparison1,PG
BR501,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
BR501,NA,NA,NA,NA,20150416_Soay_PGcomparison1,PG
