SampleID,Cq_SAMP_B2M,Cq_SAMP_Tel,RTL_PU_CAL,RTL_resp_CAL,RTL_No_CAL,RTL_NO_CAL_Corrected,Plate,ExtrMethod
4,NA,NA,NA,NA,NA,NA,Puregene 3,PU
4,26.0872106,14.20482017,1.407963953,1.407963953,0.000544274,1.172936019,Puregene 4,PU
4,NA,NA,NA,NA,NA,NA,Puregene 4,PU
4,NA,NA,NA,NA,NA,NA,Puregene 4,PU
4,26.08819719,14.13825098,1.094288503,1.440797708,0.000471442,1.216925841,SpinColumn 1,SC
4,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
4,NA,NA,NA,NA,NA,NA,SpinColumn 1,SC
4,26.0368499,14.45026725,1.19962177,1.473290074,0.000536728,0.968379744,SpinColumn 2,SC
4,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
4,NA,NA,NA,NA,NA,NA,SpinColumn 2,SC
4,26.09927636,14.27832855,1.207560762,1.395,0.000471329,1.119715858,SpinColumn 3,SC
4,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
4,NA,NA,NA,NA,NA,NA,SpinColumn 3,SC
4,26.08843382,14.48336935,1.155402039,1.469910691,0.000545174,0.980129186,SpinColumn 4,SC
4,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
4,NA,NA,NA,NA,NA,NA,SpinColumn 4,SC
4,26.30664929,14.44606722,0.879392765,1.258206635,0.000545652,1.15249813,PlateExtr 1,SP
4,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
4,NA,NA,NA,NA,NA,NA,PlateExtr 1,SP
4,26.3000229,14.74216387,1.069737965,1.402,0.000599089,0.955981173,PlateExtr 2,SP
4,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
4,NA,NA,NA,NA,NA,NA,PlateExtr 2,SP
4,26.33370232,14.36077811,0.957328619,1.336,0.000503619,1.236858956,PlateExtr 3,SP
4,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
4,NA,NA,NA,NA,NA,NA,PlateExtr 3,SP
4,26.28853706,14.74022132,1.093135105,1.288,0.000568061,0.950178375,PlateExtr 4,SP
4,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
4,NA,NA,NA,NA,NA,NA,PlateExtr 4,SP
5,24.78692053,12.98740586,0.87886764,0.87886764,0.000634033,1.123217233,Puregene 1,PU
5,NA,NA,NA,NA,NA,NA,Puregene 1,PU
5,NA,NA,NA,NA,NA,NA,Puregene 1,PU
5,24.97628066,13.24795516,1.083348341,1.083348341,0.000605054,1.066609795,Puregene 2,PU
5,NA,NA,NA,NA,NA,NA,Puregene 2,PU
5,NA,NA,NA,NA,NA,NA,Puregene 2,PU
5,25.01866737,13.23998591,1.104731189,1.104731189,0.000603475,1.101577469,Puregene 3,PU
5,NA,NA,NA,NA,NA,NA,Puregene 3,PU
5,NA,NA,NA,NA,NA,NA,Puregene 3,PU
5,24.88223658,13.5377155,1.001920042,1.001920042,0.00076485,0.834672014,Puregene 4,PU
